,close
155,0.86264
156,0.8629
157,0.86288
158,0.86313
159,0.86318
160,0.86314
161,0.86334
162,0.86327
163,0.86311
164,0.86311
165,0.86314
166,0.86294
167,0.86295
168,0.86285
169,0.86295
170,0.86289
171,0.86288
172,0.86283
173,0.86308
174,0.86314
175,0.86318
176,0.86325
177,0.86322
178,0.86323
179,0.86327
180,0.86322
181,0.86322
182,0.86322
183,0.86326
184,0.86322
185,0.86309
186,0.86315
187,0.86309
188,0.86309
189,0.86302
190,0.86353
191,0.86369
192,0.86358
193,0.86403
194,0.86382
195,0.8637
196,0.86374
197,0.86382
198,0.86382
199,0.86367
200,0.86372
201,0.8637
202,0.86374
203,0.86389
204,0.86387
205,0.86377
206,0.86366
207,0.86367
208,0.86364
209,0.86362
210,0.86364
211,0.8634
212,0.86324
213,0.86315
214,0.86314
215,0.86309
216,0.86303
217,0.86304
218,0.86304
219,0.86304
220,0.86296
221,0.8629
222,0.86283
223,0.86279
224,0.86272
225,0.8626
226,0.86253
227,0.86252
228,0.86268
229,0.86256
230,0.86262
231,0.86295
232,0.86276
233,0.86251
234,0.86283
235,0.86264
236,0.86241
237,0.86325
238,0.8636
239,0.86428
240,0.86452
241,0.86438
242,0.86431
243,0.86382
244,0.86398
245,0.86411
246,0.86473
247,0.86409
248,0.86384
249,0.86387
250,0.86188
251,0.86222
252,0.86123
253,0.86142
254,0.86131
255,0.86145
256,0.86215
257,0.86218
258,0.86191
259,0.86227
260,0.86268
261,0.86245
262,0.8629
263,0.86324
264,0.86327
265,0.86311
266,0.86277
267,0.86211
268,0.86181
269,0.86207
270,0.86129
271,0.86189
272,0.86186
273,0.86203
274,0.86273
275,0.86241
276,0.86244
277,0.86263
278,0.86208
279,0.86179
280,0.86144
281,0.86202
282,0.86216
283,0.8622
284,0.86174
285,0.86206
286,0.86241
287,0.86292
288,0.86302
289,0.86332
290,0.86337
291,0.86353
292,0.86395
293,0.86422
294,0.86408
295,0.86404
296,0.86392
297,0.86392
298,0.86388
299,0.86387
300,0.86392
301,0.86392
302,0.86379
303,0.8638
304,0.86413
305,0.86394
306,0.86376
307,0.8637
308,0.86378
309,0.86366
310,0.8634
311,0.86387
312,0.86354
313,0.86352
314,0.86362
315,0.8636
316,0.86362
317,0.8635
318,0.86353
319,0.8636
320,0.8637
321,0.86373
322,0.86374
323,0.86382
324,0.86361
325,0.86362
326,0.86361
327,0.8637
328,0.8637
329,0.86342
330,0.86353
331,0.86336
332,0.86336
333,0.86358
334,0.86341
335,0.86337
336,0.86326
337,0.86332
338,0.86337
339,0.86332
340,0.86334
341,0.86343
342,0.86352
343,0.86352
344,0.86343
345,0.86348
346,0.8636
347,0.86351
348,0.86353
349,0.86353
350,0.86358
351,0.86358
352,0.86363
353,0.86365
354,0.86359
355,0.86358
356,0.86355
357,0.86354
358,0.86344
359,0.86348
360,0.86351
361,0.86359
362,0.86346
363,0.86348
364,0.86331
365,0.86334
366,0.86347
367,0.86366
368,0.86324
369,0.86322
370,0.86316
371,0.86307
372,0.86302
373,0.86313
374,0.86317
375,0.86336
376,0.86256
377,0.86237
378,0.86228
379,0.86359
380,0.86333
381,0.86328
382,0.86327
383,0.86346
384,0.8636
385,0.86317
386,0.86338
387,0.86291
388,0.8622
389,0.86235
390,0.86269
391,0.86281
392,0.86291
393,0.86292
394,0.86246
395,0.86292
396,0.86211
397,0.86211
398,0.86188
399,0.86201
400,0.86169
401,0.86198
402,0.86192
403,0.8618
404,0.86184
405,0.86201
406,0.8625
407,0.86241
408,0.86242
409,0.86259
410,0.86267
411,0.86258
412,0.86259
413,0.86273
414,0.86314
415,0.86325
416,0.86348
417,0.86346
418,0.86392
419,0.86385
420,0.86358
421,0.86375
422,0.86351
423,0.86358
424,0.86413
425,0.86405
426,0.86407
427,0.86418
428,0.86396
429,0.86391
430,0.86382
431,0.86375
432,0.86404
433,0.86415
434,0.86388
435,0.86394
436,0.86375
437,0.8637
438,0.86399
439,0.86304
440,0.86247
441,0.86296
442,0.86302
443,0.86367
444,0.86377
445,0.86386
446,0.86401
447,0.86406
448,0.86378
449,0.86396
450,0.86379
451,0.86396
452,0.86402
453,0.86417
454,0.86394
455,0.86438
456,0.86411
457,0.8641
458,0.86406
459,0.86411
460,0.86417
461,0.86435
462,0.8644
463,0.86444
464,0.86447
465,0.8643
466,0.86431
467,0.86424
468,0.86437
469,0.86423
470,0.86439
471,0.86441
472,0.86436
473,0.86433
474,0.86446
475,0.86443
476,0.8643
477,0.86439
478,0.86422
479,0.86419
480,0.86415
481,0.86411
482,0.86431
483,0.8642
484,0.86409
485,0.86402
486,0.86387
487,0.86387
488,0.86383
489,0.86352
490,0.86372
491,0.86382
492,0.86392
493,0.86379
494,0.86366
495,0.86356
496,0.86357
497,0.86356
498,0.86357
499,0.86361
500,0.86367
501,0.86364
502,0.86359
503,0.86361
504,0.86372
505,0.86382
506,0.86392
507,0.86386
508,0.86372
509,0.86371
510,0.86369
511,0.86371
512,0.86386
513,0.86375
514,0.86352
515,0.86316
516,0.86322
517,0.86274
518,0.86288
519,0.86257
520,0.86258
521,0.86259
522,0.86229
523,0.86219
524,0.86226
525,0.86246
526,0.86284
527,0.86235
528,0.86305
529,0.86301
530,0.86301
531,0.86305
532,0.86265
533,0.86281
534,0.86263
535,0.86259
536,0.86181
537,0.86202
538,0.86181
539,0.86197
540,0.86166
541,0.86132
542,0.86045
543,0.86057
544,0.86032
545,0.86032
546,0.86074
547,0.86053
548,0.86035
549,0.86062
550,0.86064
551,0.86114
552,0.86086
553,0.86045
554,0.86034
555,0.86028
556,0.86048
557,0.86067
558,0.86065
559,0.86052
560,0.86095
561,0.8612
562,0.86148
563,0.86142
564,0.86129
565,0.86106
566,0.86096
567,0.86154
568,0.86203
569,0.86249
570,0.86177
571,0.86197
572,0.86156
573,0.86144
574,0.86122
575,0.86131
576,0.86131
577,0.86192
578,0.86208
579,0.86202
580,0.86151
581,0.86169
582,0.86158
583,0.86152
